Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1834.137026317485
FDW14,OUT017,1525.9414696810602
NCN55,OUT010,1889.7494799944009
FDQ58,OUT017,2573.1137857890308
FDY38,OUT027,5142.216506421992
FDH56,OUT046,1953.8589783441482
FDL48,OUT018,599.6776831142474
FDC48,OUT027,2774.750864202215
FDN33,OUT045,1504.1062807780338
FDA36,OUT017,3076.193224392201
FDT44,OUT017,2024.0650155459532
FDQ56,OUT045,1342.8849644181707
NCC54,OUT019,1878.9842148868408
FDU11,OUT049,2053.8037107845767
DRL59,OUT013,908.9199457878138
FDM24,OUT049,2548.278895518712
FDI57,OUT045,3260.7330452636434
DRC12,OUT018,2756.8998829357342
NCM42,OUT027,3184.283720288141
FDA46,OUT010,1132.517431419081
FDA31,OUT013,2832.3593556938
NCJ31,OUT035,3897.60183410724
FDG52,OUT046,781.9480162717124
NCL19,OUT019,373.86651242726884
FDS10,OUT035,3009.115671943846
FDX22,OUT010,1444.9046528989386
NCF19,OUT035,911.7373919488521
NCE06,OUT046,2533.1655797497406
DRC27,OUT046,3835.1324004024355
FDE21,OUT035,2049.821101175826
NCR42,OUT019,-1368.3268022811276
FDX51,OUT018,2862.1330475291275
NCR06,OUT018,419.77922133002266
FDU31,OUT027,4968.814852567548
FDU59,OUT017,2712.1420490855016
FDR03,OUT027,4744.388778532659
FDS49,OUT027,2778.275921334024
FDD48,OUT010,-75.39686267804902
NCF18,OUT017,3110.026018978474
NCD43,OUT027,3088.5137497032206
NCD54,OUT018,1985.8254163129282
FDY19,OUT010,-7.268809132520971
NCY54,OUT017,2811.5814567505704
NCL19,OUT018,2031.9633331149996
FDP23,OUT010,1531.2290972015414
FDC26,OUT013,1847.5167825732442
FDR14,OUT010,-1057.763168777452
NCS41,OUT035,3043.784016868116
FDF41,OUT035,4024.756299111886
FDU34,OUT046,1996.1369405005366
DRH11,OUT046,951.1896484627761
FDM03,OUT013,1737.4687296427483
FDS31,OUT017,3048.6953464163917
FDJ20,OUT017,2126.433281356268
FDV44,OUT027,4514.871731291632
FDG02,OUT049,3123.501001080879
FDA09,OUT013,2901.2262464913438
FDT04,OUT013,655.9637405813975
FDL58,OUT019,2282.483805235107
FDE52,OUT045,1403.0427727945707
FDW12,OUT035,2496.9313804193207
FDL51,OUT017,3509.372183005647
NCY42,OUT027,3678.7329751334323
FDR07,OUT017,1693.5588303194684
FDN40,OUT045,2340.143729480371
FDB35,OUT027,2968.5769318279768
FDA22,OUT017,2752.2926449854012
NCL06,OUT046,4109.539040921557
FDI35,OUT013,2928.3757164096132
NCW42,OUT045,3405.5582272052975
NCX06,OUT049,2928.431526083644
FDC37,OUT027,3193.7410381962686
FDZ14,OUT018,1693.1456591251167
DRG49,OUT049,3945.7228317351687
NCG06,OUT045,3948.828755813406
DRC36,OUT045,2715.5028754802756
FDV21,OUT019,61.80778740684852
FDB53,OUT046,2338.08028831786
DRP47,OUT019,2064.4321114295108
FDA14,OUT013,2309.5052136404265
DRC24,OUT035,2560.797876102576
FDW21,OUT018,1392.4816558984464
NCH29,OUT046,1573.541408974826
FDU58,OUT013,3062.270811557991
FDY27,OUT017,2891.4740673516567
FDV56,OUT035,1973.2311710294612
FDT59,OUT046,3658.8795743395603
FDB23,OUT046,3635.602074079074
FDR49,OUT045,723.0339108994627
FDB03,OUT010,1885.6023246057223
FDN39,OUT045,2609.0735741325566
FDX02,OUT027,4940.6066021764345
FDQ16,OUT027,3163.852296950942
FDU35,OUT018,1331.5725229166578
NCT29,OUT013,1980.1933253496045
FDZ27,OUT046,782.2944743237615
FDN57,OUT017,2339.087236899169
FDA03,OUT018,2054.7741537638826
FDZ36,OUT045,2919.1014785358448
NCU05,OUT013,1343.9476287713394
FDT39,OUT018,2183.081819221573
FDK60,OUT017,1706.285396507426
FDZ25,OUT017,2863.535815694427
FDG12,OUT046,2010.3955748823
DRB01,OUT019,1111.1118152104573
NCC43,OUT027,5364.2711430114305
FDX13,OUT019,2054.1157462937745
FDM22,OUT049,1015.9971536856233
FDJ03,OUT027,2268.1481537953814
FDU14,OUT018,3636.4327383810696
FDB33,OUT010,659.3742354882742
FDP27,OUT046,3016.879933531846
FDO38,OUT010,-642.740667225473
FDE28,OUT027,5120.4195421887725
FDO27,OUT035,1703.099336388041
DRL23,OUT027,3183.548669208439
FDS28,OUT046,946.6613501749437
FDX24,OUT013,1536.2341334660257
FDZ02,OUT035,1706.590920377138
FDL46,OUT045,1805.8650361925647
FDS60,OUT027,4291.101200906278
NCO06,OUT017,633.0607063713585
FDO16,OUT035,1502.2085495703525
FDC60,OUT049,1542.6937714619569
FDA48,OUT018,3199.153713280766
FDZ36,OUT027,4444.200772576456
FDK27,OUT045,1877.6805753014037
FDW23,OUT018,384.4165668573966
FDM14,OUT018,1530.214070884385
FDM14,OUT013,1805.3236963260085
FDW60,OUT018,2596.9896789608238
FDE21,OUT013,1936.8154412236145
NCM42,OUT035,1873.6076566910376
FDY59,OUT010,-387.8339223910499
DRI49,OUT049,1377.0274663938847
FDT28,OUT019,488.60470987678417
FDQ22,OUT018,399.2801784393092
FDR60,OUT049,1331.9269413664103
FDC50,OUT019,-365.48603604324023
FDV24,OUT013,2442.2709983645723
DRF48,OUT010,1060.4229693911084
FDQ47,OUT046,656.437244676973
DRN36,OUT049,1649.4969447725132
NCY06,OUT035,2166.5767549587135
FDE52,OUT035,1601.9516098010383
NCB54,OUT045,1960.3212829000151
NCF31,OUT035,2541.4310926402054
FDJ08,OUT027,4479.517502565068
NCC07,OUT017,1783.2625606614085
NCD19,OUT027,2317.252936272386
FDL46,OUT049,1998.4715100550166
FDM20,OUT045,3854.965881278632
NCI06,OUT010,919.2017366289897
DRM11,OUT035,4235.823820472513
NCH07,OUT018,2209.3367394128186
FDS23,OUT013,2092.5974508541403
FDO49,OUT018,592.5829868991582
FDS35,OUT049,1163.9129636787948
DRK39,OUT045,1245.1187116449403
DRI39,OUT049,1021.7371004291088
FDV04,OUT017,2620.1533554020366
NCN14,OUT035,3021.3562331927033
FDH08,OUT013,3720.4191864378795
FDS20,OUT046,2940.090741686803
FDV40,OUT049,1312.183540774748
FDZ48,OUT010,-142.42195661326036
FDS24,OUT027,2907.5728197369735
FDK44,OUT049,2885.0867340019954
FDS48,OUT045,2337.7055350111827
FDK26,OUT010,1122.6009865437004
FDD23,OUT045,2984.0324559322444
