Outlet_Identifier,Item_Identifier
OUT049,FDW58
OUT017,FDW14
OUT010,NCN55
OUT017,FDQ58
OUT027,FDY38
OUT046,FDH56
OUT018,FDL48
OUT027,FDC48
OUT045,FDN33
OUT017,FDA36
OUT017,FDT44
OUT045,FDQ56
OUT019,NCC54
OUT049,FDU11
OUT013,DRL59
OUT049,FDM24
OUT045,FDI57
OUT018,DRC12
OUT027,NCM42
OUT010,FDA46
OUT013,FDA31
OUT035,NCJ31
OUT046,FDG52
OUT019,NCL19
OUT035,FDS10
OUT010,FDX22
OUT035,NCF19
OUT046,NCE06
OUT046,DRC27
OUT035,FDE21
OUT019,NCR42
OUT018,FDX51
OUT018,NCR06
OUT027,FDU31
OUT017,FDU59
OUT027,FDR03
OUT027,FDS49
OUT010,FDD48
OUT017,NCF18
OUT027,NCD43
OUT018,NCD54
OUT010,FDY19
OUT017,NCY54
OUT018,NCL19
OUT010,FDP23
OUT013,FDC26
OUT010,FDR14
OUT035,NCS41
OUT035,FDF41
OUT046,FDU34
OUT046,DRH11
OUT013,FDM03
OUT017,FDS31
OUT017,FDJ20
OUT027,FDV44
OUT049,FDG02
OUT013,FDA09
OUT013,FDT04
OUT019,FDL58
OUT045,FDE52
OUT035,FDW12
OUT017,FDL51
OUT027,NCY42
OUT017,FDR07
OUT045,FDN40
OUT027,FDB35
OUT017,FDA22
OUT046,NCL06
OUT013,FDI35
OUT045,NCW42
OUT049,NCX06
OUT027,FDC37
OUT018,FDZ14
OUT049,DRG49
OUT045,NCG06
OUT045,DRC36
OUT019,FDV21
OUT046,FDB53
OUT019,DRP47
OUT013,FDA14
OUT035,DRC24
OUT018,FDW21
OUT046,NCH29
OUT013,FDU58
OUT017,FDY27
OUT035,FDV56
OUT046,FDT59
OUT046,FDB23
OUT045,FDR49
OUT010,FDB03
OUT045,FDN39
OUT027,FDX02
OUT027,FDQ16
OUT018,FDU35
OUT013,NCT29
OUT046,FDZ27
OUT017,FDN57
OUT018,FDA03
OUT045,FDZ36
OUT013,NCU05
OUT018,FDT39
OUT017,FDK60
OUT017,FDZ25
OUT046,FDG12
OUT019,DRB01
OUT027,NCC43
OUT019,FDX13
OUT049,FDM22
OUT027,FDJ03
OUT018,FDU14
OUT010,FDB33
OUT046,FDP27
OUT010,FDO38
OUT027,FDE28
OUT035,FDO27
OUT027,DRL23
OUT046,FDS28
OUT013,FDX24
OUT035,FDZ02
OUT045,FDL46
OUT027,FDS60
OUT017,NCO06
OUT035,FDO16
OUT049,FDC60
OUT018,FDA48
OUT027,FDZ36
OUT045,FDK27
OUT018,FDW23
OUT018,FDM14
OUT013,FDM14
OUT018,FDW60
OUT013,FDE21
OUT035,NCM42
OUT010,FDY59
OUT049,DRI49
OUT019,FDT28
OUT018,FDQ22
OUT049,FDR60
OUT019,FDC50
OUT013,FDV24
OUT010,DRF48
OUT046,FDQ47
OUT049,DRN36
OUT035,NCY06
OUT035,FDE52
OUT045,NCB54
OUT035,NCF31
OUT027,FDJ08
OUT017,NCC07
OUT027,NCD19
OUT049,FDL46
OUT045,FDM20
OUT010,NCI06
OUT035,DRM11
OUT018,NCH07
OUT013,FDS23
OUT018,FDO49
OUT049,FDS35
OUT045,DRK39
OUT049,DRI39
OUT017,FDV04
OUT035,NCN14
OUT013,FDH08
OUT046,FDS20
OUT049,FDV40
OUT010,FDZ48
OUT027,FDS24
OUT049,FDK44
OUT045,FDS48
OUT010,FDK26
OUT045,FDD23
OUT017,NCH54
OUT010,NCP14
OUT010,FDM60
OUT017,FDV24
OUT018,FDH08
OUT027,FDS12
OUT027,FDR39
OUT027,FDP12
OUT027,DRF60
OUT035,FDC09
OUT018,FDF50
OUT035,FDG28
OUT017,NCE19
OUT010,NCM53
OUT049,NCN18
OUT035,FDF32
OUT013,FDF11
OUT049,DRI59
OUT035,NCG54
OUT046,FDM44
OUT018,FDT57
OUT046,FDV24
OUT019,FDI50
OUT035,FDS09
OUT027,NCC31
OUT019,FDQ07
OUT017,FDC22
OUT046,FDZ56
OUT019,FDZ40
OUT027,FDS46
OUT045,DRD24
OUT017,FDV45
OUT045,FDL26
OUT018,FDA56
OUT046,FDN27
OUT049,FDM20
OUT017,FDO16
OUT035,FDL03
OUT046,FDE58
OUT027,FDI02
OUT019,NCC55
OUT018,FDR03
OUT017,FDB14
OUT013,FDR45
OUT017,NCN07
OUT019,FDM51
OUT027,FDT52
OUT046,FDL26
OUT046,NCZ42
OUT019,DRI47
OUT013,FDW40
OUT046,FDN34
OUT035,FDS01
OUT045,NCG55
OUT035,FDC11
OUT018,FDX35
OUT046,NCB06
OUT019,FDR09
OUT017,FDC53
OUT013,FDY45
OUT010,FDA22
OUT035,FDE02
OUT045,FDW21
OUT046,FDV34
OUT049,FDS59
OUT017,NCW17
OUT046,NCK54
OUT019,FDG17
OUT017,FDG35
OUT010,FDD08
OUT017,NCO07
OUT010,FDJ10
OUT017,FDW36
OUT010,FDW21
OUT017,FDY19
OUT013,DRE03
OUT049,NCC55
OUT010,FDH52
OUT017,FDO09
OUT045,FDU43
OUT010,FDX09
OUT019,FDH40
OUT017,FDW58
OUT017,FDC47
OUT035,NCR41
OUT035,DRG49
OUT027,FDC52
OUT046,FDY13
OUT013,FDY35
OUT017,FDI35
OUT049,NCU18
OUT018,FDY33
OUT027,FDC15
OUT049,FDU01
OUT046,NCU42
OUT018,NCV29
OUT017,NCY30
OUT049,FDQ46
OUT027,FDG58
OUT017,FDK33
OUT045,NCD07
OUT027,NCX29
OUT013,NCT42
OUT035,DRN59
OUT035,FDI44
OUT049,FDA45
OUT045,FDP31
OUT046,FDY01
OUT018,FDT09
OUT027,DRH03
OUT018,FDA36
OUT017,NCF31
OUT049,FDG14
OUT027,FDG28
OUT049,FDU14
OUT019,FDY47
OUT049,FDI56
OUT013,DRD01
OUT046,FDM22
OUT013,FDH33
OUT013,DRZ24
OUT046,NCQ38
OUT027,FDO16
OUT027,FDU07
OUT013,NCB07
OUT045,FDU48
OUT045,NCM43
OUT010,FDR31
OUT018,DRK49
OUT010,NCI30
OUT017,DRD60
OUT046,NCG19
OUT035,FDH12
OUT035,FDM32
OUT035,FDM27
OUT027,NCU53
OUT046,NCQ18
OUT013,FDS10
OUT027,FDB33
OUT013,FDI12
OUT013,NCW42
OUT018,NCC06
OUT017,FDW02
OUT017,NCD43
OUT018,FDM57
OUT017,FDA58
OUT046,FDK56
OUT045,FDP52
OUT018,FDW20
OUT049,FDS52
OUT018,NCT29
OUT013,NCL54
OUT045,FDC05
OUT035,FDF34
OUT027,FDP03
OUT010,FDD32
OUT045,FDZ10
OUT035,FDZ40
OUT018,FDD51
OUT019,NCY30
OUT017,FDP58
OUT017,FDV49
OUT019,FDY24
OUT017,NCO55
OUT017,FDR13
OUT017,FDS51
OUT045,FDP26
OUT027,NCB54
OUT017,FDF32
OUT018,FDN31
OUT017,DRM48
OUT049,FDN20
OUT046,DRL01
OUT049,FDV56
OUT027,DRH13
OUT017,FDA03
OUT027,FDF47
OUT046,FDX32
OUT049,FDX57
OUT045,NCA30
OUT013,FDO49
OUT019,FDL04
OUT035,DRM48
OUT013,FDR16
OUT018,NCC19
OUT045,NCE42
OUT017,FDY24
OUT049,FDH19
OUT013,FDJ46
OUT010,FDN45
OUT035,FDY08
OUT035,FDZ37
OUT045,NCT30
OUT018,DRY23
OUT018,NCZ30
OUT018,FDC44
OUT035,FDB45
OUT013,FDY04
OUT046,FDM27
OUT017,FDZ43
OUT019,FDT39
OUT019,NCC06
OUT027,FDL15
OUT017,FDL57
OUT046,FDU08
OUT017,FDK40
OUT010,FDQ12
OUT017,FDS48
OUT045,FDP09
OUT049,FDW21
OUT035,FDY25
OUT017,DRE13
OUT019,FDV43
OUT045,FDD22
OUT019,FDM46
OUT010,NCO30
OUT046,FDM25
OUT049,NCN41
OUT045,FDU24
OUT046,FDZ50
OUT013,FDP45
OUT045,NCM54
OUT019,FDW10
OUT017,FDP20
OUT046,FDK32
OUT049,FDN52
OUT045,FDM58
OUT027,FDZ46
OUT018,NCA18
OUT046,FDD35
OUT035,NCK31
OUT027,FDI40
OUT019,FDT50
OUT046,NCT06
OUT035,FDT31
OUT049,FDT45
OUT045,FDT13
OUT045,FDO50
OUT010,NCU18
OUT049,NCR54
OUT018,NCO18
OUT045,FDU09
OUT018,FDT13
OUT046,FDE09
OUT019,NCK53
OUT049,FDG45
OUT035,DRH15
OUT019,FDO21
OUT027,FDD14
OUT046,FDC09
OUT027,FDH45
OUT046,FDV32
OUT035,FDG12
OUT013,FDS32
OUT018,NCL55
OUT035,DRE01
OUT049,DRE15
OUT045,NCL42
OUT013,FDP31
OUT018,FDN33
OUT046,FDZ59
OUT010,FDE45
OUT013,FDJ07
OUT018,FDQ45
OUT027,FDM33
OUT010,FDO15
OUT013,FDM46
OUT045,FDR03
OUT018,FDY49
OUT045,FDQ60
OUT049,FDW10
OUT049,FDO51
OUT018,FDJ40
OUT018,FDS20
OUT013,FDU45
OUT035,FDV02
OUT046,FDN09
OUT027,NCM55
OUT018,FDN23
OUT010,FDY31
OUT010,FDW03
OUT046,FDD14
OUT017,FDV23
OUT045,DRI03
OUT035,FDN13
OUT027,FDF45
OUT035,FDU46
OUT049,FDB57
OUT049,FDV12
OUT013,FDQ58
OUT017,NCA18
OUT049,FDH52
OUT018,FDM24
OUT027,NCP43
OUT019,NCO18
OUT017,FDM32
OUT017,NCL07
OUT013,FDK03
OUT017,FDP59
OUT049,FDQ24
OUT018,FDQ16
OUT013,FDU44
OUT010,FDH28
OUT019,FDV28
OUT045,FDM22
OUT046,FDR56
OUT049,FDV39
OUT019,FDU37
OUT010,FDQ11
OUT045,FDX02
