Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1674.178310909091
FDW14,OUT017,1481.8506141732285
NCN55,OUT010,584.757764772727
FDQ58,OUT017,2658.6059800000025
FDY38,OUT027,6280.890880000003
FDH56,OUT046,1922.149381714286
FDL48,OUT018,713.8586545454546
FDC48,OUT027,2517.8820884848474
FDN33,OUT045,1559.342975268818
FDA36,OUT017,2752.970934653465
FDT44,OUT017,1922.149381714286
FDQ56,OUT045,1481.8506141732285
NCC54,OUT019,584.757764772727
FDU11,OUT049,2143.348908333334
DRL59,OUT013,713.8586545454546
FDM24,OUT049,2288.5508357894746
FDI57,OUT045,3130.0049049504946
DRC12,OUT018,2893.83982589928
NCM42,OUT027,3242.0620715328487
FDA46,OUT010,482.69954262295056
FDA31,OUT013,2851.6316958762905
NCJ31,OUT035,3733.51692173913
FDG52,OUT046,798.2176035398229
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3384.1080642424226
FDX22,OUT010,584.757764772727
NCF19,OUT035,798.2176035398229
NCE06,OUT046,2491.4174351851857
DRC27,OUT046,4127.6567298429345
FDE21,OUT035,1922.149381714286
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2893.83982589928
NCR06,OUT018,507.04640366972495
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2491.4174351851857
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.8820884848474
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2939.348476190477
NCD43,OUT027,2517.8820884848474
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2851.6316958762905
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.757764772727
FDC26,OUT013,1526.9964476190485
FDR14,OUT010,165.91858165137623
NCS41,OUT035,3384.1080642424226
FDF41,OUT035,3733.51692173913
FDU34,OUT046,2143.348908333334
DRH11,OUT046,935.0323883040934
FDM03,OUT013,1526.9964476190485
FDS31,OUT017,3384.1080642424226
FDJ20,OUT017,2143.348908333334
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.970934653465
FDA09,OUT013,2851.6316958762905
FDT04,OUT013,507.04640366972495
FDL58,OUT019,584.757764772727
FDE52,OUT045,1424.594690277778
FDW12,OUT035,2288.5508357894746
FDL51,OUT017,3753.0000993630574
NCY42,OUT027,3242.0620715328487
FDR07,OUT017,1559.342975268818
FDN40,OUT045,2288.5508357894746
FDB35,OUT027,2517.8820884848474
FDA22,OUT017,2288.5508357894746
NCL06,OUT046,4596.8463862745075
FDI35,OUT013,3384.1080642424226
NCW42,OUT045,3753.0000993630574
NCX06,OUT049,2568.33283364486
FDC37,OUT027,2517.8820884848474
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3441.1849720279706
NCG06,OUT045,4105.919507547171
DRC36,OUT045,2851.6316958762905
FDV21,OUT019,281.4820818181818
FDB53,OUT046,2660.9504030303015
DRP47,OUT019,584.757764772727
FDA14,OUT013,2660.9504030303015
DRC24,OUT035,2660.9504030303015
FDW21,OUT018,1372.6884907407418
NCH29,OUT046,1559.342975268818
FDU58,OUT013,2893.83982589928
FDY27,OUT017,2851.6316958762905
FDV56,OUT035,1784.4287381818185
FDT59,OUT046,4127.6567298429345
FDB23,OUT046,3753.0000993630574
FDR49,OUT045,798.2176035398229
FDB03,OUT010,584.757764772727
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.8820884848474
FDU35,OUT018,1372.6884907407418
NCT29,OUT013,1992.6578734693874
FDZ27,OUT046,798.2176035398229
FDN57,OUT017,2309.2007980000008
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.1080642424226
NCU05,OUT013,1243.068929770992
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1559.342975268818
FDZ25,OUT017,2894.220710714286
FDG12,OUT046,2236.8272283333326
DRB01,OUT019,482.69954262295056
NCC43,OUT027,6280.890880000003
FDX13,OUT019,584.757764772727
FDM22,OUT049,796.6402682539684
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,346.8972837209302
FDP27,OUT046,3391.591252727272
FDO38,OUT010,165.91858165137623
FDE28,OUT027,6280.890880000003
FDO27,OUT035,1559.342975268818
DRL23,OUT027,2517.8820884848474
FDS28,OUT046,935.0323883040934
FDX24,OUT013,1481.8506141732285
FDZ02,OUT035,1559.342975268818
FDL46,OUT045,1827.8328454545453
FDS60,OUT027,5329.314724444444
NCO06,OUT017,583.8145788617884
FDO16,OUT035,1481.8506141732285
FDC60,OUT049,1259.5490513157886
FDA48,OUT018,3327.9525829268287
FDZ36,OUT027,5329.314724444444
FDK27,OUT045,1827.8328454545453
FDW23,OUT018,507.04640366972495
FDM14,OUT018,1372.6884907407418
FDM14,OUT013,1674.178310909091
FDW60,OUT018,2851.6316958762905
FDE21,OUT013,1922.149381714286
NCM42,OUT035,1879.0540499999997
FDY59,OUT010,219.2185209302326
DRI49,OUT049,1259.5490513157886
FDT28,OUT019,346.8972837209302
FDQ22,OUT018,507.04640366972495
FDR60,OUT049,1259.5490513157886
FDC50,OUT019,219.2185209302326
FDV24,OUT013,2491.4174351851857
DRF48,OUT010,482.69954262295056
FDQ47,OUT046,583.8145788617884
DRN36,OUT049,1559.342975268818
NCY06,OUT035,1992.6578734693874
FDE52,OUT035,1424.594690277778
NCB54,OUT045,1827.8328454545453
NCF31,OUT035,2288.5508357894746
FDJ08,OUT027,5329.314724444444
NCC07,OUT017,1674.178310909091
NCD19,OUT027,1378.263185276074
FDL46,OUT049,1992.6578734693874
FDM20,OUT045,4127.6567298429345
NCI06,OUT010,425.93559145299156
DRM11,OUT035,4596.8463862745075
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,2143.348908333334
FDO49,OUT018,713.8586545454546
FDS35,OUT049,1103.1862133333336
DRK39,OUT045,1481.8506141732285
DRI39,OUT049,796.6402682539684
FDV04,OUT017,2491.4174351851857
NCN14,OUT035,3384.1080642424226
FDH08,OUT013,4127.6567298429345
FDS20,OUT046,3384.1080642424226
FDV40,OUT049,1103.1862133333336
FDZ48,OUT010,281.4820818181818
FDS24,OUT027,2517.8820884848474
FDK44,OUT049,2568.33283364486
FDS48,OUT045,2660.9504030303015
FDK26,OUT010,482.69954262295056
FDD23,OUT045,3391.591252727272
NCH54,OUT017,2894.220710714286
NCP14,OUT010,219.2185209302326
