Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1594.9770817299154
FDW14,OUT017,1367.9979461911041
NCN55,OUT010,597.5984548387097
FDQ58,OUT017,2547.721818320611
FDY38,OUT027,5975.52878740158
FDH56,OUT046,1995.9338212480916
FDL48,OUT018,1018.4697993052097
FDC48,OUT027,1773.580693775932
FDN33,OUT045,1526.6112966352612
FDA36,OUT017,3467.523040553264
FDT44,OUT017,1995.9338212480916
FDQ56,OUT045,1307.8010522798747
NCC54,OUT019,597.5861349693255
FDU11,OUT049,2138.852421399457
DRL59,OUT013,1018.4697993052097
FDM24,OUT049,2468.0039925672777
FDI57,OUT045,3473.612737520377
DRC12,OUT018,3467.523040553264
NCM42,OUT027,2257.2232634757447
FDA46,OUT010,543.8964586666664
FDA31,OUT013,3198.0587451708006
NCJ31,OUT035,3714.867992720188
FDG52,OUT046,1018.4697993052097
NCL19,OUT019,334.9145819354842
FDS10,OUT035,3376.3614475944505
FDX22,OUT010,581.2485019157085
NCF19,OUT035,1018.4697993052097
NCE06,OUT046,2623.7210691226646
DRC27,OUT046,3714.867992720188
FDE21,OUT035,1995.9338212480916
NCR42,OUT019,737.3115991215221
FDX51,OUT018,3467.523040553264
NCR06,OUT018,1018.4697993052097
FDU31,OUT027,5427.506106772904
FDU59,OUT017,2634.6207797794
FDR03,OUT027,5427.506106772904
FDS49,OUT027,1773.580693775932
FDD48,OUT010,332.24755415472794
NCF18,OUT017,3467.523040553264
NCD43,OUT027,2195.910663398693
NCD54,OUT018,2255.9120944899496
FDY19,OUT010,332.24755415472794
NCY54,OUT017,3198.0587451708006
NCL19,OUT018,2439.97615516703
FDP23,OUT010,582.062846153846
FDC26,OUT013,1914.5508765681857
FDR14,OUT010,737.3115991215221
NCS41,OUT035,3467.523040553264
FDF41,OUT035,3714.867992720188
FDU34,OUT046,2169.07592212674
DRH11,OUT046,1018.4697993052097
FDM03,OUT013,1594.9770817299154
FDS31,OUT017,3376.3614475944505
FDJ20,OUT017,2138.852421399457
FDV44,OUT027,5249.946673170731
FDG02,OUT049,3467.523040553264
FDA09,OUT013,3267.6187022172962
FDT04,OUT013,1018.4697993052097
FDL58,OUT019,602.6821600000002
FDE52,OUT045,1422.8899985430492
FDW12,OUT035,2439.97615516703
FDL51,OUT017,3598.5898777450407
NCY42,OUT027,2743.445342286873
FDR07,OUT017,1526.6112966352612
FDN40,OUT045,2496.1756283066456
FDB35,OUT027,1900.3466837862313
FDA22,OUT017,2634.6207797794
NCL06,OUT046,3754.702195043968
FDI35,OUT013,3376.3614475944505
NCW42,OUT045,3661.3431124200674
NCX06,OUT049,3267.6187022172962
FDC37,OUT027,2196.2355620071694
FDZ14,OUT018,2138.852421399457
DRG49,OUT049,3714.867992720188
NCG06,OUT045,3754.702195043968
DRC36,OUT045,3198.0587451708006
FDV21,OUT019,334.9145819354842
FDB53,OUT046,2460.165801583942
DRP47,OUT019,601.3439957746476
FDA14,OUT013,2460.165801583942
DRC24,OUT035,2496.1756283066456
FDW21,OUT018,1576.2364502636206
NCH29,OUT046,1526.6112966352612
FDU58,OUT013,3467.523040553264
FDY27,OUT017,3245.2009922794095
FDV56,OUT035,1695.5166889112224
FDT59,OUT046,3703.8745841856576
FDB23,OUT046,3661.3431124200674
FDR49,OUT045,1018.4697993052097
FDB03,OUT010,597.5984548387097
FDN39,OUT045,2634.6207797794
FDX02,OUT027,5457.14390103092
FDQ16,OUT027,2196.2355620071694
FDU35,OUT018,1563.4641815261034
NCT29,OUT013,2138.852421399457
FDZ27,OUT046,1018.4697993052097
FDN57,OUT017,2230.2050492182198
FDA03,OUT018,2460.165801583942
FDZ36,OUT045,3467.523040553264
NCU05,OUT013,1268.3336164510179
FDT39,OUT018,2468.0039925672777
FDK60,OUT017,1526.6112966352612
FDZ25,OUT017,2793.3741903653167
FDG12,OUT046,2138.852421399457
DRB01,OUT019,538.1366701639347
NCC43,OUT027,6159.772752358483
FDX13,OUT019,597.5984548387097
FDM22,OUT049,1018.4697993052097
FDJ03,OUT027,1325.5391063492073
FDU14,OUT018,3720.5085474690213
FDB33,OUT010,407.21281763085415
FDP27,OUT046,3467.523040553264
FDO38,OUT010,902.9830491608013
FDE28,OUT027,5975.52878740158
FDO27,OUT035,1526.6112966352612
DRL23,OUT027,2196.2355620071694
FDS28,OUT046,1018.4697993052097
FDX24,OUT013,1483.304339986238
FDZ02,OUT035,1526.6112966352612
FDL46,OUT045,1995.9338212480916
FDS60,OUT027,5040.025668302655
NCO06,OUT017,1018.4697993052097
FDO16,OUT035,1307.8010522798747
FDC60,OUT049,1367.9979461911041
FDA48,OUT018,3661.3431124200674
FDZ36,OUT027,5249.946673170731
FDK27,OUT045,2130.189896371555
FDW23,OUT018,1018.4697993052097
FDM14,OUT018,1864.4381643000365
FDM14,OUT013,1594.9770817299154
FDW60,OUT018,3245.2009922794095
FDE21,OUT013,1995.9338212480916
NCM42,OUT035,1712.739185238785
FDY59,OUT010,1045.4751727371854
DRI49,OUT049,1268.3336164510179
FDT28,OUT019,386.8585395683453
FDQ22,OUT018,1018.4697993052097
FDR60,OUT049,1248.527182857138
FDC50,OUT019,1045.4751727371854
FDV24,OUT013,2468.0039925672777
DRF48,OUT010,537.7388051020407
FDQ47,OUT046,1018.4697993052097
DRN36,OUT049,1526.6112966352612
NCY06,OUT035,2228.3946257513626
FDE52,OUT035,1422.8899985430492
NCB54,OUT045,2219.220732619368
NCF31,OUT035,2496.1756283066456
FDJ08,OUT027,5249.946673170731
NCC07,OUT017,1594.9770817299154
NCD19,OUT027,1325.5391063492073
FDL46,OUT049,2011.325601172335
FDM20,OUT045,3714.867992720188
NCI06,OUT010,477.4778496894407
DRM11,OUT035,3754.702195043968
NCH07,OUT018,2573.337297341363
FDS23,OUT013,2228.3946257513626
FDO49,OUT018,1018.4697993052097
FDS35,OUT049,1045.452590112065
DRK39,OUT045,1283.5521046067904
DRI39,OUT049,1018.4697993052097
FDV04,OUT017,2573.337297341363
NCN14,OUT035,3467.523040553264
FDH08,OUT013,3703.8745841856576
FDS20,OUT046,3467.523040553264
FDV40,OUT049,1055.6459941505912
FDZ48,OUT010,332.24755415472794
FDS24,OUT027,1869.1382509914997
FDK44,OUT049,3198.0587451708006
FDS48,OUT045,2468.0039925672777
FDK26,OUT010,537.7388051020407
FDD23,OUT045,3467.523040553264
NCH54,OUT017,2623.7210691226646
NCP14,OUT010,1051.399122791708
FDM60,OUT010,737.3115991215221
FDV24,OUT017,2468.0039925672777
FDH08,OUT018,3703.8745841856576
FDS12,OUT027,2743.445342286873
FDR39,OUT027,5127.453411666666
FDP12,OUT027,1325.5391063492073
DRF60,OUT027,6159.772752358483
FDC09,OUT035,1576.2364502636206
FDF50,OUT018,3473.612737520377
FDG28,OUT035,3714.867992720188
NCE19,OUT017,1018.4697993052097
NCM53,OUT010,1051.399122791708
NCN18,OUT049,1864.4381643000365
FDF32,OUT035,3473.612737520377
FDF11,OUT013,3714.867992720188
DRI59,OUT049,3661.3431124200674
NCG54,OUT035,2793.3741903653167
FDM44,OUT046,1576.2364502636206
FDT57,OUT018,3714.867992720188
FDV24,OUT046,2468.0039925672777
FDI50,OUT019,596.1339696682464
