Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1825.2987
FDW14,OUT017,1497.4026
NCN55,OUT010,640.3677
FDQ58,OUT017,2574.7505
FDY38,OUT027,5742.112
FDH56,OUT046,1887.8701
FDL48,OUT018,638.2596
FDC48,OUT027,2252.5288
FDN33,OUT045,1427.9187
FDA36,OUT017,3103.0159
FDT44,OUT017,1982.0731
FDQ56,OUT045,1268.3708
NCC54,OUT019,587.34485
FDU11,OUT049,2064.2397
DRL59,OUT013,743.2227
FDM24,OUT049,2585.6235
FDI57,OUT045,3213.8767
DRC12,OUT018,2711.48
NCM42,OUT027,3035.4834
FDA46,OUT010,446.4818
FDA31,OUT013,2875.1238
NCJ31,OUT035,3876.5618
FDG52,OUT046,679.9272
NCL19,OUT019,383.65305
FDS10,OUT035,2998.077
FDX22,OUT010,528.0744
NCF19,OUT035,806.38666
NCE06,OUT046,2481.4478
DRC27,OUT046,3795.48
FDE21,OUT035,2035.6403
NCR42,OUT019,24.041939
FDX51,OUT018,2833.6523
NCR06,OUT018,505.35754
FDU31,OUT027,5597.1416
FDU59,OUT017,2702.691
FDR03,OUT027,5340.368
FDS49,OUT027,2268.2068
FDD48,OUT010,280.55716
NCF18,OUT017,3098.9163
NCD43,OUT027,2850.1008
NCD54,OUT018,1922.9161
FDY19,OUT010,293.77853
NCY54,OUT017,2793.6128
NCL19,OUT018,1970.4888
FDP23,OUT010,561.2665
FDC26,OUT013,1861.8833
FDR14,OUT010,24.041939
NCS41,OUT035,3049.1458
FDF41,OUT035,4030.5916
FDU34,OUT046,1898.3873
DRH11,OUT046,910.59454
FDM03,OUT013,1744.1567
FDS31,OUT017,3059.8438
FDJ20,OUT017,2084.9746
FDV44,OUT027,5117.45
FDG02,OUT049,3186.2686
FDA09,OUT013,2922.1123
FDT04,OUT013,540.1734
FDL58,OUT019,690.33795
FDE52,OUT045,1335.6312
FDW12,OUT035,2504.9353
FDL51,OUT017,3509.7163
NCY42,OUT027,3852.529
FDR07,OUT017,1638.0223
FDN40,OUT045,2284.5332
FDB35,OUT027,2555.5264
FDA22,OUT017,2778.3643
NCL06,OUT046,4088.3484
FDI35,OUT013,2999.644
NCW42,OUT045,3376.3962
NCX06,OUT049,2964.374
FDC37,OUT027,2885.906
FDZ14,OUT018,1641.3586
DRG49,OUT049,4010.2986
NCG06,OUT045,3944.5654
DRC36,OUT045,2676.6516
FDV21,OUT019,351.72913
FDB53,OUT046,2240.5405
DRP47,OUT019,626.8903
FDA14,OUT013,2320.9834
DRC24,OUT035,2542.708
FDW21,OUT018,1344.9958
NCH29,OUT046,1509.1797
FDU58,OUT013,3125.9277
FDY27,OUT017,2901.0703
FDV56,OUT035,1957.5065
FDT59,OUT046,3627.8032
FDB23,OUT046,3635.4192
FDR49,OUT045,706.3714
FDB03,OUT010,631.918
FDN39,OUT045,2539.082
FDX02,OUT027,5537.471
FDQ16,OUT027,2828.898
FDU35,OUT018,1258.4888
NCT29,OUT013,2016.4336
FDZ27,OUT046,701.2096
FDN57,OUT017,2304.2615
FDA03,OUT018,1991.9895
FDZ36,OUT045,2901.3496
NCU05,OUT013,1235.4792
FDT39,OUT018,2144.5605
FDK60,OUT017,1660.7518
FDZ25,OUT017,2869.7375
FDG12,OUT046,1962.1293
DRB01,OUT019,482.57297
NCC43,OUT027,5991.8125
FDX13,OUT019,628.883
FDM22,OUT049,847.22076
FDJ03,OUT027,1398.3823
FDU14,OUT018,3616.4302
FDB33,OUT010,375.74045
FDP27,OUT046,2948.2808
FDO38,OUT010,131.22041
FDE28,OUT027,5718.6016
FDO27,OUT035,1646.6742
DRL23,OUT027,2870.3052
FDS28,OUT046,870.4086
FDX24,OUT013,1487.8584
FDZ02,OUT035,1688.8928
FDL46,OUT045,1718.9915
FDS60,OUT027,4652.8896
NCO06,OUT017,490.98654
FDO16,OUT035,1474.5175
FDC60,OUT049,1546.0435
