Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1820.1853
FDW14,OUT017,1522.3704
NCN55,OUT010,575.7721
FDQ58,OUT017,2706.3123
FDY38,OUT027,6163.2104
FDH56,OUT046,2018.4535
FDL48,OUT018,676.65375
FDC48,OUT027,2166.589
FDN33,OUT045,1549.3792
FDA36,OUT017,3328.4934
FDT44,OUT017,2095.1511
FDQ56,OUT045,1326.2275
NCC54,OUT019,619.7507
FDU11,OUT049,2099.9722
DRL59,OUT013,771.3451
FDM24,OUT049,2717.681
FDI57,OUT045,3657.1008
DRC12,OUT018,2851.444
NCM42,OUT027,2921.3098
FDA46,OUT010,499.71188
FDA31,OUT013,2978.0972
NCJ31,OUT035,4068.135
FDG52,OUT046,763.4851
NCL19,OUT019,298.5724
FDS10,OUT035,3166.2014
FDX22,OUT010,510.03644
NCF19,OUT035,776.7078
NCE06,OUT046,2527.3606
DRC27,OUT046,3971.49
FDE21,OUT035,2114.7842
NCR42,OUT019,51.8722
FDX51,OUT018,2915.4514
NCR06,OUT018,570.1434
FDU31,OUT027,5932.35
FDU59,OUT017,2849.4016
FDR03,OUT027,5599.19
FDS49,OUT027,2286.3477
FDD48,OUT010,249.20824
NCF18,OUT017,3226.3694
NCD43,OUT027,2781.315
NCD54,OUT018,2111.8164
FDY19,OUT010,233.96068
NCY54,OUT017,2881.2458
NCL19,OUT018,2108.4822
FDP23,OUT010,529.8923
FDC26,OUT013,1891.4746
FDR14,OUT010,135.95589
NCS41,OUT035,3217.137
FDF41,OUT035,4270.3955
FDU34,OUT046,2103.0146
DRH11,OUT046,958.01245
FDM03,OUT013,1734.1172
FDS31,OUT017,3244.6394
FDJ20,OUT017,2171.271
FDV44,OUT027,5257.9077
FDG02,OUT049,3388.2444
FDA09,OUT013,3071.0781
FDT04,OUT013,512.02026
FDL58,OUT019,677.7004
FDE52,OUT045,1373.196
FDW12,OUT035,2702.6653
FDL51,OUT017,3724.7795
NCY42,OUT027,3736.2756
FDR07,OUT017,1638.1147
FDN40,OUT045,2457.5413
FDB35,OUT027,2559.744
FDA22,OUT017,2960.2751
NCL06,OUT046,4159.5024
FDI35,OUT013,3102.1575
NCW42,OUT045,3475.5159
NCX06,OUT049,3174.3245
FDC37,OUT027,2863.7083
FDZ14,OUT018,1751.9348
DRG49,OUT049,4242.876
NCG06,OUT045,4019.434
DRC36,OUT045,2829.9592
FDV21,OUT019,278.973
FDB53,OUT046,2401.9194
DRP47,OUT019,640.37164
FDA14,OUT013,2372.281
DRC24,OUT035,2683.6663
FDW21,OUT018,1490.344
NCH29,OUT046,1607.3066
FDU58,OUT013,3189.1833
FDY27,OUT017,3117.8933
FDV56,OUT035,1976.1588
FDT59,OUT046,3771.6565
FDB23,OUT046,3825.3977
FDR49,OUT045,781.89215
FDB03,OUT010,596.21783
FDN39,OUT045,2699.6462
FDX02,OUT027,5915.263
FDQ16,OUT027,2884.3406
FDU35,OUT018,1409.5278
NCT29,OUT013,2076.959
FDZ27,OUT046,756.71533
FDN57,OUT017,2431.0842
FDA03,OUT018,2093.6978
FDZ36,OUT045,3094.3
NCU05,OUT013,1261.0564
FDT39,OUT018,2226.1628
FDK60,OUT017,1690.6195
FDZ25,OUT017,3040.5696
